lat,min1,min2,max1,max2
-90,-270.0,,90.0,
-89,-270.0,,90.0,
-88,-270.0,,90.0,
-87,-270.0,,90.0,
-86,-270.0,,90.0,
-85,-247.98,,55.2,
-84,-233.94,,41.17,
-83,-225.99,,33.22,
-82,-220.64,,27.87,
-81,-216.74,,23.97,
-80,-213.77,,21.0,
-79,-211.43,,18.66,
-78,-209.54,,16.77,
-77,-207.99,,15.22,
-76,-206.69,,13.92,
-75,-205.6,,12.83,
-74,-204.68,,11.91,
-73,-203.88,,11.11,
-72,-203.2,,10.43,
-71,-202.6,,9.84,
-70,-202.09,,9.32,
-69,-201.64,,8.87,
-68,-81.54,-201.25,8.48,-111.13
-67,-73.5,-200.9,8.14,-119.17
-66,-67.98,-200.6,7.83,-124.68
-65,-63.65,-200.34,7.57,-129.01
-64,-60.05,-200.11,7.34,-132.61
-63,-56.97,-199.91,7.14,-135.7
-62,-54.26,-199.74,6.97,-138.4
-61,-51.86,-199.59,6.82,-140.8
-60,-49.7,-199.46,6.7,-142.97
-59,-47.73,-199.35,6.59,-144.93
-58,-45.94,-199.26,6.5,-146.73
-57,-44.29,-199.19,6.42,-148.38
-56,-42.76,-199.13,6.36,-149.91
-55,-41.34,-199.08,6.32,-151.33
-54,-40.02,-176.87,6.28,-152.65
-53,-38.78,-172.46,6.26,-153.89
-52,-37.61,-169.28,6.25,-155.06
-51,-36.51,-166.68,6.25,-156.15
-50,-35.48,-164.42,6.26,-157.19
-49,-34.5,-162.39,6.27,-158.17
-48,-33.57,-160.52,6.3,-159.1
-47,-32.68,,6.33,
-46,-31.84,,6.37,
-45,-31.04,,6.42,
-44,-29.77,,5.94,
-43,-29.04,,6.01,
-42,-28.35,,6.09,
-41,-27.68,,6.16,
-40,-27.04,,6.25,
-39,-26.43,,6.34,
-38,-25.84,,6.43,
-37,-25.26,,6.52,
-36,-24.71,,6.63,
-35,-24.18,,6.73,
-34,-23.66,,6.84,
-33,-23.16,,6.95,
-32,-22.68,,7.07,
-31,-22.21,,7.19,
-30,-21.75,,7.31,
-29,-21.31,,7.44,
-28,-20.88,,7.57,
-27,-20.46,,7.7,
-26,-20.05,,7.84,
-25,-19.66,,7.98,
-24,-19.27,,8.12,
-23,-18.9,,8.27,
-22,-18.53,,8.42,
-21,-18.17,,8.57,
-20,-17.82,,8.73,
-19,-17.48,,8.89,
-18,-17.15,,9.05,
-17,-16.82,,9.22,
-16,-16.5,,9.39,
-15,-16.19,,9.56,
-14,-15.88,,9.73,
-13,-15.59,,9.91,
-12,-15.29,,10.09,
-11,-15.01,,10.28,
-10,-14.72,,10.47,
-9,-14.45,,10.66,
-8,-14.18,,10.85,
-7,-13.91,,11.05,
-6,-13.65,,11.25,
-5,-13.4,,11.46,
-4,-13.14,,11.67,
-3,-12.9,,11.88,
-2,-12.66,,12.1,
-1,-12.42,,12.32,
0,-12.18,,12.55,
1,-11.95,,12.78,
2,-11.73,,13.01,
3,-11.51,,13.25,
4,-11.29,,13.49,
5,-11.07,,13.74,
6,-10.86,,13.99,
7,-10.66,,14.25,
8,-10.45,,14.51,
9,-10.25,,14.78,
10,-10.05,,15.05,
11,-9.86,,15.33,
12,-9.67,,15.61,
13,-9.48,,15.9,
14,-9.29,,16.2,
15,-9.11,,16.5,
16,-8.93,,16.81,
17,-8.76,,17.12,
18,-8.59,,17.45,
19,-8.42,,17.78,
20,-8.25,,18.12,
21,-8.08,,18.46,
22,-7.92,,18.82,
23,-7.77,,19.18,
24,-7.61,,19.56,
25,-7.46,,19.94,
26,-7.31,,20.34,
27,-7.16,,20.74,
28,-7.02,,21.16,
29,-6.88,,21.58,
30,-6.74,,22.02,
31,-6.61,,22.48,
32,-6.48,,22.95,
33,-6.35,,23.43,
34,-6.22,,23.93,
35,-6.1,,24.44,
36,-5.98,,24.98,
37,-5.87,,25.53,
38,-5.76,,26.1,
39,-5.65,,26.69,
40,-5.55,,27.31,
41,-5.45,,27.95,
42,-5.35,,28.61,
43,-5.26,,29.3,
44,-5.18,,30.03,
45,-5.1,161.9,30.78,163.49
46,-5.02,161.11,31.57,168.38
47,-4.95,160.28,32.4,174.01
48,-4.88,159.41,33.27,179.55
49,-4.82,158.49,34.19,184.66
50,-4.77,157.53,35.15,189.73
51,-4.73,156.51,36.17,195.65
52,-4.69,155.43,37.25,197.33
53,-4.65,154.29,38.39,197.3
54,-4.63,153.07,39.61,197.27
55,-4.62,151.77,40.91,197.26
56,-4.61,150.38,42.31,197.25
57,-4.61,148.88,43.81,197.26
58,-4.63,147.26,45.43,197.27
59,-4.66,145.5,47.18,197.3
60,-4.7,143.58,49.1,197.34
61,-4.76,141.47,51.22,197.4
62,-4.83,139.13,53.56,197.47
63,-4.92,136.5,56.19,197.56
64,-5.03,133.51,59.18,197.67
65,-5.16,130.04,62.65,197.8
66,-5.32,125.9,66.79,197.96
67,-5.51,120.71,71.98,198.14
68,-5.72,113.49,79.2,198.36
69,-5.98,,198.61,
70,-6.27,,198.91,
71,-6.62,,199.26,
72,-7.02,,199.66,
73,-7.49,,200.13,
74,-8.04,,200.68,
75,-8.69,,201.33,
76,-9.46,,202.09,
77,-10.37,,203.0,
78,-11.47,,204.1,
79,-12.8,,205.44,
80,-14.45,,207.09,
81,-16.53,,209.17,
82,-19.22,,211.86,
83,-22.83,,215.46,
84,-27.9,,220.53,
85,-35.66,,228.3,
86,-49.79,,242.42,
87,-90.0,,270.0,
88,-90.0,,270.0,
89,-90.0,,270.0,
90,-90.0,,270.0,
